slat,slon,pdate
43.25135,-69.56255,2017-06-13 17:24:03
42.39368,-70.28013,2018-01-18 14:25:57
43.20556,-69.50549,2017-06-13 18:42:26
42.49258,-70.23697,2018-01-18 16:47:23
42.424769999999995,-70.1998,2016-12-28 20:00:14
43.16819,-69.46732,2017-06-13 19:54:50
42.46387,-70.34276,2018-01-18 18:38:10
42.40645000000001,-70.13339,2016-12-28 21:19:29
43.20841,-69.38362000000001,2017-06-13 21:42:02
42.452200000000005,-70.41595000000001,2018-01-18 20:04:26
42.24929,-69.59843,2016-12-29 12:05:04
43.24496,-69.35088,2017-06-13 22:52:45
42.49054,-70.39474,2018-01-18 21:10:58
42.231660000000005,-70.01255,2016-12-29 13:02:53
43.18014,-69.3915,2017-06-14 09:30:21
43.06593,-70.07778,2018-01-19 12:09:50
43.15161,-69.31814,2017-06-14 10:57:53
43.04317,-70.02515,2018-01-19 13:26:35
42.15835,-70.27892,2017-01-02 12:20:28
43.08721,-69.31475999999999,2017-06-14 12:24:43
43.00967,-69.57933,2018-01-19 14:46:35
42.148909999999994,-70.18623,2017-01-02 13:57:10
43.08745,-69.36607,2017-06-14 13:29:23
42.58375,-70.07595,2018-01-19 16:54:17
42.1837,-70.34404,2017-01-02 16:14:30
42.49089,-70.12334,2018-01-19 18:45:58
42.14433,-70.36861,2017-01-02 17:59:47
42.197449999999996,-70.43988,2017-06-24 10:01:45
42.07383,-70.34423,2017-01-02 19:32:18
42.265,-70.51364,2017-06-24 12:12:27
42.05546999999999,-70.18707,2018-01-22 12:51:32
42.28970999999999,-70.46,2017-06-24 13:48:58
42.0546,-70.22442,2018-01-22 14:07:03
42.28303,-70.38261,2017-06-24 15:13:32
42.08988,-70.26354,2018-01-22 15:10:14
42.08357,-70.06323,2017-01-06 13:49:44
42.389430000000004,-70.27722,2017-06-24 17:27:53
42.14606,-70.32241,2018-01-22 16:36:41
42.054269999999995,-70.14853,2017-01-06 15:50:02
42.47235,-70.3351,2017-06-24 19:33:23
42.08725999999999,-70.3689,2018-01-22 18:25:06
41.599700000000006,-70.1379,2017-01-06 17:15:14
42.4692,-70.39834,2017-06-24 20:58:06
41.52778,-70.18304,2017-01-06 18:52:13
42.50405,-70.45957,2017-06-24 22:40:22
42.407700000000006,-69.5859,2018-01-28 13:59:58
41.530010000000004,-70.23944,2017-01-06 20:11:22
42.52947,-70.37729,2017-06-25 09:43:56
42.45735,-69.56235,2018-01-28 15:22:10
42.002700000000004,-70.26574,2017-01-06 21:40:32
42.57102,-70.2692,2017-06-25 11:30:56
42.49892,-70.09366,2017-06-25 14:04:53
43.08747,-70.17640999999999,2018-01-31 16:20:11
42.47989,-70.43703000000001,2017-01-12 16:18:52
42.48526,-70.21879,2017-06-25 16:38:03
43.03456,-70.1662,2018-01-31 17:36:24
